,pH_perm,NaOH mg/kg w,pH_outlet
533,5.3,2.2366483763293608,7.994842529070849
534,5.3,2.5195885499080855,8.094842581346418
535,5.3,2.8626571985398725,8.194842644825693
536,5.3,3.276213020603854,8.294842721488658
537,5.3,3.7707878960682484,8.394842813383786
538,5.3,4.356341193572182,8.49484292250605
539,5.3,5.041244390492351,8.594843050629878
540,5.3,5.831057564007874,8.694843199108746
541,5.3,6.727259652251073,8.794843368671014
542,5.3,7.7262053541311015,8.8948435592614
543,5.3,8.818658562638445,8.994843769991398
544,5.3,9.990236837450144,9.094843999259796
545,5.3,11.222952144062859,9.194844245077721
546,5.3,12.497765897249302,9.29484450558694
547,5.3,13.797782703051102,9.394844779707817
548,5.3,15.111519947935571,9.494845067822348
549,5.3,16.43570665700732,9.594845372400428
550,5.3,17.777281510684645,9.694845698518401
551,5.3,19.15457482829755,9.794846054275103
552,5.3,20.597939561863463,9.894846451163053
553,5.3,22.1502531528645,9.994846904482035
554,5.3,23.867733024785537,10.094847433891056
555,5.3,25.82143878132101,10.194848064186347
556,5.3,28.099737660096405,10.294848826383221
557,5.3,30.811938005246606,10.394849759174614
558,5.3,34.093275525894306,10.494850910846022
559,5.3,38.111473163134676,10.59485234312091
560,5.3,43.07518494951895,10.694854129100246
561,5.3,49.24474780710476,10.794856364730423
562,5.3,56.945844655369285,10.894859169106358
563,5.3,66.58687397132924,10.994862692076477
564,5.3,78.68110602504666,11.094867122461899
565,5.3,93.87507775037378,11.194872698558497
566,5.3,112.98519033101404,11.294879721608476
567,5.3,137.0451625134665,11.394888573151691
568,5.3,167.36789447485776,11.494899737457422
569,5.3,205.62643779026072,11.594913830606624
570,5.3,253.9601672095565,11.694931638256342
571,5.3,315.11394657483885,11.794954164692978
572,5.3,392.62016342550294,11.89498269650816
573,5.3,491.0361564234609,11.995018885174593
574,5.4,2.1707420197211564,7.994842504312682
575,5.4,2.4536797820408025,8.094842556588217
576,5.4,2.7967455978090743,8.194842620067456
577,5.4,3.2102981464350355,8.29484269673041
578,5.4,3.7048693161285824,8.394842788625565
579,5.4,4.2904185223500955,8.49484289774791
580,5.4,4.975317339955423,8.59484302587189
581,5.4,5.765125998665767,8.69484317435103
582,5.4,6.661323640879166,8.794843343913708
583,5.4,7.660265205437058,8.894843534504671
584,5.4,8.752714827109488,8.994843745235457
585,5.4,9.924290266570958,9.094843974504846
586,5.4,11.157003603280637,9.194844220323944
587,5.4,12.431816245758931,9.294844480834445
588,5.4,13.731832661430976,9.394844754956702
589,5.4,15.04556997871432,9.494845043072582
590,5.4,16.369756878339334,9.594845347651901
591,5.4,17.711331649244645,9.6948456737709
592,5.4,19.08862420428923,9.794846029528344
593,5.4,20.531987089019506,9.894846426416647
594,5.4,22.08429733446784,9.99484687973548
595,5.4,23.80177192972587,10.09484740914378
596,5.4,25.75546998910289,10.194848039437657
597,5.4,28.033758169186125,10.29484880163233
598,5.4,30.745944102626325,10.394849734420598
599,5.4,34.02726261910235,10.494850886087718
600,5.4,38.045435569818565,10.594852318356354
601,5.4,43.00911564236967,10.694854104328341
602,5.4,49.17863811040675,10.794856339949153
603,5.4,56.879683891389824,10.894859144313294
604,5.4,66.52064905874981,10.994862667268702
605,5.4,78.61480104663015,11.094867097635946
606,5.4,93.80867352027632,11.194872673710293
607,5.4,112.9186640135365,11.29487969673332
608,5.4,136.978487366994,11.394888548244271
609,5.4,167.30103980567787,11.494899712511891
610,5.4,205.55936920002696,11.594913805616766
611,5.4,253.8928471811579,11.694931613215777
612,5.4,315.0463353831765,11.794954139595436
613,5.4,392.55222027960144,11.894982671347748
614,5.4,490.9678406898607,11.995018859946002
615,5.5,2.1102504989135586,7.994842481588447
616,5.5,2.3931860479875344,8.094842533863947
617,5.5,2.7362492633644373,8.19484259734316
618,5.5,3.1497988070463405,8.294842674006105
619,5.5,3.6443665746322287,8.39484276590128
620,5.5,4.229912025845976,8.494842875023698
621,5.5,4.914806823573072,8.59484300314782
622,5.5,5.7046113377853365,8.694843151627204
623,5.5,6.600804898947365,8.794843321190266
